N_A,N_B,r_Z_A,r_Z_B,r_A_gw,r_B_gw,r_A_s1,r_B_s1,r_A_s2,r_B_s2,r_A_s3,r_B_s3,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ugw,Ugw_low,Ugw_up,Us1,Us1_low,Us1_up,Us2,Us2_low,Us2_up,Us3,Us3_low,Us3_up,sim_time_sec
12,13,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,342.2105636816741,336.8741346304272,347.546992732921,350.99604841592543,341.1274171465657,360.8646796852852,338.1266767809423,332.9795512083461,343.27380235353854,0.07336853821150899,0.07138230867638731,0.07546846603664958,0.0344321388743708,0.033912960468477395,0.03496746077767583,0.038446139396124505,0.03787164187432515,0.039038335184548995,0.7302640109000339,0.7147732598850276,0.7457547619150402,0.9448724758154936,0.9172164876428069,0.9725284639881803,0.9810737138228101,0.9635456129133084,0.9986018147323117,0.8957370303328044,0.8772075791915963,0.9142664814740125,15.241398334503174
13,12,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,343.79408287483506,337.7416257847428,349.84653996492733,361.5104755940668,354.9703503304777,368.0506008576559,325.37848269738913,320.112490458381,330.6444749363973,0.07280726569023617,0.07157897329148336,0.07407844899488183,0.03594757185963445,0.03538650337002972,0.0365267189662677,0.0370112210208248,0.03599702835996323,0.03808421890617946,0.7218185909763399,0.7023910360265571,0.7412461459261228,0.914074219898206,0.8869826266563957,0.9411658131400163,0.9864329248103423,0.971934630161936,1.0009312194587485,0.9025705487439541,0.8812408827744324,0.9239002147134759,15.333968162536621
15,10,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,349.2250493617486,344.1217592578362,354.328339465661,384.11281997472076,375.3073930964147,392.9182468530268,306.36753462004856,302.117653251373,310.61741598872413,0.07152580141631774,0.07034426340561747,0.07274770891976885,0.039024565112636404,0.037892492185578865,0.04022636461724813,0.03257246945219355,0.031981518131686544,0.033185670989799826,0.716111020127575,0.6983910252519044,0.7338310150032455,0.8594528137652381,0.838387159448783,0.8805184680816932,0.9856198187311642,0.9721452687215537,0.9990943687407747,0.9512035445090817,0.9251645099313187,0.9772425790868448,16.02213191986084
11,14,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,341.8485231603791,336.996449727739,346.7005965930192,340.61499421262624,335.02858355624625,346.20140486900624,343.027772585274,333.51523610934447,352.5403090612036,0.07309680591919594,0.07128022274473093,0.075008402094712,0.03229776513639476,0.031776625914331905,0.03283628281693093,0.04093503120485362,0.03986326950381027,0.042066015823947145,0.7300864110959805,0.7167235947069175,0.7434492274850435,0.9511716644552888,0.933233105152003,0.9691102237585746,0.9768453909471971,0.9588468424750333,0.994843939419361,0.8503965984220059,0.8258076061928941,0.8749855906511177,17.952707052230835
14,11,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,343.4075337904478,338.0525760544753,348.7624915264203,372.0214454500023,366.19896878685574,377.8439221131489,316.2690894995034,306.8251081377039,325.7130708613029,0.07256473338334465,0.07143747111389309,0.07372814176144853,0.03753246325553131,0.03700938586113228,0.03807053860242426,0.0348981964569317,0.034419595298792176,0.0353902951023648,0.7345073886672646,0.7163286139196596,0.7526861634148696,0.8947016737859489,0.8707468343383995,0.9186565132334983,0.9814091621832507,0.9611581611284914,1.00166016323801,0.9304610150088882,0.9054292727599633,0.9554927572578131,17.906516790390015
16,9,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,348.90650209650113,339.2878892094745,358.52511498352777,391.34119760682364,385.8823781910572,396.80001702259005,296.45856664187403,290.8674618814805,302.04967140226756,0.0715115165660936,0.06957347618665509,0.07356062300040431,0.04088642412648669,0.04022460617282438,0.04157038425078486,0.029963362259326047,0.029330642237712732,0.030623982184126486,0.7056905240997242,0.6904159832968011,0.7209650649026473,0.826897578593343,0.807353278755322,0.846441878431364,0.9727545823072877,0.954138538969304,0.9913706256452715,0.9769388521189574,0.959425683146716,0.9944520210911988,18.274880409240723
18,7,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,363.3742285651879,356.8853809041215,369.86307622625424,420.42980397421377,413.38899282729295,427.4706151211346,270.78408311357936,262.6675100061493,278.9006562210094,0.06880917021953473,0.06765303529478998,0.07000550695689858,0.04264648919872801,0.042022626491856535,0.04328915462536408,0.025542103108552185,0.02509508037432065,0.026005340453106186,0.684428439225236,0.6655224042569496,0.7033344741935224,0.7612352350157003,0.7385272864965137,0.783943183534887,0.9517874929224411,0.9340229296034164,0.9695520562414659,0.9873967552157368,0.9731582688503109,1.0016352415811627,19.012662649154663
19,6,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,373.13402641094865,366.6781263484321,379.5899264734652,431.83009323576835,423.8767597492999,439.7834267222368,264.94828718005687,259.77635522312715,270.1202191369866,0.06661216579275665,0.0655712989795385,0.06768661067717278,0.04395020935223401,0.043093776553857266,0.04484137336583024,0.02264573503352135,0.02222266300618265,0.023085228464407498,0.6662614331489702,0.6506030901052204,0.68191977619272,0.7203278882380275,0.7039232944410381,0.736732482035017,0.9355035433574255,0.9115230681346237,0.9594840185802272,0.9983581418159218,0.9859657236044768,1.0107505600273667,19.616137742996216
17,8,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,357.4799739005291,348.95635643886027,366.00359136219794,402.32677271090876,394.04810990847847,410.60543551333905,285.232469837675,279.08767534434463,291.3772643310054,0.0699812534535963,0.0680797479057521,0.07199203127038135,0.04245918266857584,0.0416809903142872,0.04326698587446762,0.028112176632753033,0.02761279027335856,0.028629958818561677,0.7013549877450832,0.6839428811275805,0.7187670943625859,0.8049801507183972,0.7835690745172398,0.8263912269195547,0.9713294646053081,0.9508015778729509,0.9918573513376653,0.9813667088811002,0.9660818425629702,0.9966515751992302,22.387035846710205
2,23,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,414.23878895172146,408.0368451474273,420.4407327560156,265.29602755179917,257.4469569068282,273.14509819677016,434.32494996830803,427.1555198452348,441.4943800913813,0.06035149432733755,0.05953524697958138,0.06119043483188783,0.007518284009590386,0.007402211153627372,0.007638055095628371,0.05295671459395549,0.05212688616040009,0.053813391164992924,0.6005872168830495,0.5851039009836185,0.6160705327824805,1.0,0.9874855732602297,1.0125144267397703,0.7307372832093885,0.7102658685388749,0.7512086978799021,0.4163133052938794,0.4068505026996311,0.4257761078881277,39.616759061813354
25,0,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,501.0804564479079,488.5680549976804,513.5928578981354,501.0804564479079,488.5680549976804,513.5928578981354,0.0,0.0,0.0,0.05053845574177321,0.04923584736328785,0.0519118621144537,0.05053845574177321,0.04923584736328785,0.0519118621144537,0.0,0.0,0.0,0.4981318702729703,0.4847980017819196,0.511465738764021,0.35040976395775514,0.34125590520290366,0.3595636227126066,0.7397360441393304,0.7213005351140076,0.7581715531646531,1.0,0.9713515668682959,1.028648433131704,11.196462631225586
21,4,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,398.7368909285461,387.8417284717316,409.63205338536056,459.41977305712805,451.4133305437736,467.4262155704825,246.77952062948606,243.04623863164613,250.51280262732598,0.06270335586587933,0.061130874575662554,0.06435887154542998,0.04564611837129946,0.04490949664691068,0.046407307732084714,0.016191304472279126,0.01593362165755292,0.016457458924164805,0.6132103094852451,0.5962080650062733,0.6302125539642169,0.6123007451817828,0.5952022104082868,0.6293992799552788,0.8872853899758482,0.8681291808744199,0.9064415990772764,0.9992802615154502,0.9868446405465512,1.0117158824843493,18.789640426635742
20,5,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,387.77153515855554,381.08509409899824,394.45797621811283,444.91137049821293,435.8601196341836,453.96262136224226,254.73092604902288,250.58997315409644,258.8718789439493,0.06444966246428166,0.0634479753179348,0.06548348529614437,0.04492313705036587,0.0440259412493323,0.0458576611018285,0.019666972521210146,0.019312195985294642,0.020035027909848437,0.6450421746757343,0.632778440395106,0.6573059089563627,0.6658001498756803,0.6478733901750774,0.6837269095762831,0.9106647143517232,0.8908752816959307,0.9304541470075158,0.9999635127943222,0.9874493303049771,1.0124776952836672,19.58011817932129
22,3,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,423.019922584153,414.4918564853185,431.54798868298747,469.9976831616805,458.73597746288885,481.2593888604722,241.601887006807,236.98183011667848,246.22194389693553,0.05897717570752597,0.0573058207729588,0.06074895138938373,0.046833284596640684,0.0457529631549684,0.047965857007701666,0.01238929852480224,0.012193034065288539,0.012591984669375169,0.5934024543081605,0.5763169883643442,0.6104879202519768,0.5524699341555194,0.5363377104187019,0.5686021578923368,0.8482544528433761,0.8316120351128052,0.8648968705739469,1.0,0.9874855732602297,1.0125144267397703,19.982203483581543
23,2,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,442.47134606073394,434.1524154537006,450.7902766677673,476.37668218840497,468.46193106401546,484.2914333127945,238.11960186438532,233.91458329532512,242.32462043344552,0.05657364780573373,0.05551806659466242,0.05767014715285112,0.048204694837493484,0.04736867958179791,0.04907075013142361,0.008398684812169656,0.008253195762556195,0.008549395329284807,0.5663883483969966,0.5515616643346596,0.5812150324593336,0.4940768214689883,0.4860179245581858,0.5021357183797908,0.8244764670629844,0.8027322694442642,0.8462206646817045,0.9997347719620695,0.9872172426310799,1.012252301293059,19.31390118598938
24,1,0.01,0.01,0.1,0.1,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,479.25583093438763,467.23972758502305,491.2719342837522,495.8469596481898,485.83273877120325,505.86118052517634,235.67241262384596,231.5953254094137,239.7494998382782,0.05246944723773602,0.05102929716311554,0.053993245947560005,0.04865378063085702,0.04772389219367643,0.049620626474379745,0.00424317801505299,0.004171020171781567,0.004317876443456716,0.5315653712437273,0.5193682872365052,0.5437624552509494,0.40953916516329963,0.4006284766706287,0.4184498536559706,0.7706670575619023,0.7508754843976818,0.7904586307261229,1.0,0.9874855732602297,1.0125144267397703,23.674548625946045
